id,shelterId,focusInfoId,isStrict
1,746,83,false
2,773,48,true
3,157,84,true
4,301,78,false
5,227,46,false
6,982,28,false
7,990,20,false
8,630,67,true
9,470,80,true
10,46,26,false
11,297,10,false
12,996,75,false
13,786,35,true
14,958,69,false
15,141,45,false
16,997,66,true
17,142,24,true
18,921,30,true
19,75,41,false
20,707,22,true
21,409,66,false
22,672,58,false
23,829,25,false
24,760,59,true
25,54,66,true
26,754,4,true
27,298,62,false
28,654,33,true
29,435,88,false
30,404,57,true
31,860,37,true
32,182,11,true
33,112,46,false
34,375,70,true
35,161,64,false
36,569,73,false
37,683,75,false
38,898,60,true
39,250,31,false
40,811,43,true
41,55,2,false
42,39,48,true
43,176,62,true
44,744,79,false
45,407,9,false
46,74,71,true
47,72,27,false
48,388,32,true
49,750,11,false
50,38,92,true
51,667,82,false
52,784,97,false
53,180,33,false
54,822,10,false
55,422,30,false
56,977,87,true
57,506,1,false
58,98,55,false
59,773,32,true
60,792,27,true
61,604,92,true
62,7,24,true
63,941,89,true
64,771,71,true
65,361,52,false
66,524,41,false
67,594,82,false
68,236,66,true
69,292,89,true
70,178,41,true
71,464,53,true
72,608,90,false
73,137,1,false
74,242,36,false
75,732,66,false
76,204,65,true
77,751,5,true
78,165,95,false
79,132,82,false
80,388,77,false
81,984,25,true
82,704,63,true
83,633,58,true
84,563,22,true
85,79,34,true
86,638,8,true
87,434,42,false
88,905,92,false
89,85,4,true
90,180,70,true
91,208,3,false
92,134,7,true
93,872,9,false
94,246,39,true
95,856,90,false
96,457,52,true
97,485,29,false
98,751,86,true
99,322,3,true
100,998,27,false
